C:\Python27\python.exe C:/Users/Elena/PycharmProjects/TVSpeed/data_processing.py
When Calls the Heart , 1 , 92.4444444433
When Calls the Heart , 3 , 125.711358957
When Calls the Heart , 2 , 115.968992233
When Calls the Heart , 4 , 126.4047619
When Calls the Heart , average , 115.132389383
Arrow , 1 , 94.3821817774
Arrow , 3 , 100.753747504
Arrow , 2 , 89.5861471891
Arrow , 5 , 119.439962492
Arrow , 4 , 115.376979606
Arrow , average , 103.907803714
Vikings , 1 , 53.3611111111
Vikings , 3 , 49.09714317
Vikings , 2 , 55.447767032
Vikings , 4 , 47.0604594315
Vikings , average , 51.2416201862
Rookie Blue , 1 , 115.096703711
Rookie Blue , 3 , 119.966895515
Rookie Blue , 2 , 118.560329292
Rookie Blue , 5 , 128.34600072
Rookie Blue , 4 , 121.979388992
Rookie Blue , 6 , 127.5502114
Rookie Blue , average , 121.916588272
This Is Us , 1 , 112.059886037
This Is Us , average , 112.059886037
Janet King , 1 , 128.948865586
Janet King , 2 , 113.844106986
Janet King , average , 121.396486286
Gotham , 1 , 93.4704863364
Gotham , average , 93.4704863364
UnREAL , 1 , 127.455227589
UnREAL , 2 , 143.23426247
UnREAL , average , 135.344745029
Supernatural , 12 , 77.899535422
Supernatural , 1 , 115.034802727
Supernatural , 3 , 130.144566064
Supernatural , 2 , 111.669559311
Supernatural , 5 , 92.907709749
Supernatural , 4 , 120.599247103
Supernatural , 6 , 98.2409194805
Supernatural , average , 106.642334265
The Mysteries of Laura , 1 , 132.981536986
The Mysteries of Laura , 2 , 130.391472858
The Mysteries of Laura , average , 131.686504922
Sons of Anarchy , 1 , 70.47919564
Sons of Anarchy , 3 , 74.0175111
Sons of Anarchy , 2 , 59.331919191
Sons of Anarchy , average , 67.9428753103
The Whispers , 1 , 85.1100435417
The Whispers , average , 85.1100435417
Teen Wolf , 1 , 83.069976772
Teen Wolf , 3 , 77.9197120713
Teen Wolf , 2 , 77.26688815
Teen Wolf , 5 , 64.4267036318
Teen Wolf , 4 , 73.3388444342
Teen Wolf , average , 75.2044250118
Kingdom , 1 , 94.122718143
Kingdom , 2 , 96.4347943365
Kingdom , average , 95.2787562397
The Flash , 1 , 103.573799219
The Flash , 3 , 120.191146262
The Flash , 2 , 108.126235513
The Flash , average , 110.630393665
Grey's Anatomy , 1 , 98.7510981883
Grey's Anatomy , 3 , 92.9168128639
Grey's Anatomy , 2 , 100.089280686
Grey's Anatomy , 5 , 87.490151515
Grey's Anatomy , 4 , 100.60333334
Grey's Anatomy , 6 , 86.8572567811
Grey's Anatomy , average , 94.451322229
Aquarius , 1 , 90.367441862
Aquarius , 2 , 103.187400024
Aquarius , average , 96.7774209432
Boardwalk Empire , 1 , 81.8505892855
Boardwalk Empire , 3 , 77.9521800591
Boardwalk Empire , 2 , 81.6162129236
Boardwalk Empire , 4 , 76.4429586625
Boardwalk Empire , average , 79.4654852327
The Astronaut Wives Club , 1 , 104.083259064
The Astronaut Wives Club , average , 104.083259064
Scandal , 1 , 144.813178325
Scandal , 3 , 124.175500853
Scandal , 2 , 127.1718335
Scandal , 4 , 114.906976762
Scandal , average , 127.76687236
Defiance , 1 , 79.088778148
Defiance , 3 , 83.9707029192
Defiance , 2 , 95.9106638645
Defiance , average , 86.3233816439
The Strain , 1 , 70.97910164
The Strain , 3 , 64.8229283878
The Strain , 2 , 71.8120632609
The Strain , average , 69.2046977629
Shameless , 1 , 103.880621394
Shameless , 2 , 107.306628668
Shameless , average , 105.593625031
Good Witch , 1 , 103.485714304
Good Witch , 2 , 122.170731729
Good Witch , average , 112.828223016
Blue Bloods , 1 , 126.568531781
Blue Bloods , 3 , 124.121543606
