Series Title,Episode Title,Episode Runtime,Season #,"Episode #, Year"
11.22.63,The Rabbit Hole,43,1,1,2016
11.22.63,The Kill Floor,43,1,2,2016
11.22.63,"Other Voices, Other Rooms",43,1,3,2016
11.22.63,The Eyes of Texas,43,1,4,2016
11.22.63,The Truth,43,1,5,2016
11.22.63,"Happy Birthday, Lee Harvey Oswald",43,1,6,2016
11.22.63,Soldier Boy,43,1,7,2016
11.22.63,The Day in Question,43,1,8,2016
12 Monkeys,Pilot,60,1,1,2015
12 Monkeys,Mentally Divergent,44,1,2,2015
12 Monkeys,Cassandra Complex,43,1,3,2015
12 Monkeys,Atari,43,1,4,2015
12 Monkeys,The Night Room,43,1,5,2015
12 Monkeys,The Red Forest,60,1,6,2015
12 Monkeys,The Keys,44,1,7,2015
12 Monkeys,Yesterday,43,1,8,2015
12 Monkeys,Tomorrow,44,1,9,2015
12 Monkeys,Divine Move,44,1,10,2015
12 Monkeys,Shonin,43,1,11,2015
12 Monkeys,Paradox,43,1,12,2015
12 Monkeys,Arms of Mine,43,1,13,2015
12 Monkeys,Year of the Monkey,42,2,1,2016
12 Monkeys,Primary,43,2,2,2016
12 Monkeys,One Hundred Years,43,2,3,2016
12 Monkeys,Emergence,42,2,4,2016
12 Monkeys,Bodies of Water,43,2,5,2016
12 Monkeys,Immortal,41,2,6,2016
12 Monkeys,Meltdown,43,2,7,2016
12 Monkeys,Lullaby,43,2,8,2016
12 Monkeys,Hyena,43,2,9,2016
12 Monkeys,Fatherland,43,2,10,2016
12 Monkeys,Resurrection,43,2,11,2016
12 Monkeys,Blood Washed Away,43,2,12,2016
12 Monkeys,Memory of Tomorrow,43,2,13,2016
12 Monkeys,Mother,43,3,1,2017
12 Monkeys,Guardians,43,3,2,2017
12 Monkeys,Enemy,43,3,3,2017
12 Monkeys,Brothers,43,3,4,2017
12 Monkeys,Causality,44,3,5,2017
12 Monkeys,Nature,43,3,6,2017
12 Monkeys,Masks,40,3,8,2017
12 Monkeys,Thief,44,3,9,2017
12 Monkeys,Witness,45,3,10,2017
19-2,Partners,44,1,1,2014
19-2,Deer,44,1,2,2014
19-2,Welfare Day,43,1,3,2014
19-2,The Party,44,1,4,2014
19-2,Home,45,1,5,2014
19-2,Turf,44,1,6,2014
19-2,Lovers,44,1,7,2014
19-2,Medals,45,1,8,2014
19-2,Islands,44,1,9,2014
19-2,Winter,45,1,10,2014
19-2,School,42,2,1,2015
19-2,Disorder,44,2,2,2015
19-2,Borders,44,2,3,2015
19-2,Tribes,44,2,4,2015
19-2,Rock Garden,42,2,5,2015
19-2,Tables,44,2,6,2015
19-2,Property Line,42,2,7,2015
19-2,Babylon,44,2,8,2015
19-2,Orphans,44,2,9,2015
19-2,Bridges,44,2,10,2015
19-2,Burn Pile,44,3,1,2016
19-2,Rescue,44,3,2,2016
19-2,Chicken,44,3,3,2016
19-2,Bitch,44,3,4,2016
19-2,Protest Pants,44,3,5,2016
19-2,City,44,3,6,2016
19-2,Honeymoon,44,3,7,2016
19-2,Fall,44,3,8,2016
19-2,Gone,44,3,9,2016
19-2,Water,44,3,10,2016
The A Word,Diagnosis,60,1,1,2016
The A Word,Home School,60,1,2,2016
The A Word,Therapy,60,1,3,2016
The Affair,1,60,1,1,2014
The Affair,2,52,1,2,2014
The Affair,3,53,1,3,2014
The Affair,4,56,1,4,2014
The Affair,5,56,1,5,2014
The Affair,6,52,1,6,2014
The Affair,7,59,1,7,2014
The Affair,8,57,1,8,2014
The Affair,9,60,1,9,2014
The Affair,10,57,1,10,2014
The Affair,201,57,2,1,2015
The Affair,202,58,2,2,2015
The Affair,203,56,2,3,2015
The Affair,204,55,2,4,2015
The Affair,205,58,2,5,2015
The Affair,206,55,2,6,2015
The Affair,207,59,2,7,2015
The Affair,208,57,2,8,2015
The Affair,209,59,2,9,2015
The Affair,210,59,2,10,2015
The Affair,211,57,2,11,2015
The Affair,212,68,2,12,2015
The Affair,301,58,3,1,2016
The Affair,302,54,3,2,2016
The Affair,303,55,3,3,2016
The Affair,304,56,3,4,2016
The Affair,305,58,3,5,2016
The Affair,306,60,3,6,2017
The Affair,307,58,3,7,2017
The Affair,308,55,3,8,2017
The Affair,309,51,3,9,2017
The Affair,310,59,3,10,2017
Agents of S.H.I.E.L.D.,Pilot,44,1,1,2013
Agents of S.H.I.E.L.D.,0-8-4,42,1,2,2013
Agents of S.H.I.E.L.D.,The Asset,45,1,3,2013
Agents of S.H.I.E.L.D.,Eye Spy,45,1,4,2013
Agents of S.H.I.E.L.D.,Girl in the Flower Dress,45,1,5,2013
Agents of S.H.I.E.L.D.,FZZT,45,1,6,2013
Agents of S.H.I.E.L.D.,The Hub,45,1,7,2013
Agents of S.H.I.E.L.D.,The Well,42,1,8,2013
Agents of S.H.I.E.L.D.,Repairs,44,1,9,2013
Agents of S.H.I.E.L.D.,The Bridge,41,1,10,2013
Agents of S.H.I.E.L.D.,The Magical Place,42,1,11,2014
Agents of S.H.I.E.L.D.,Seeds,45,1,12,2014
Agents of S.H.I.E.L.D.,T.R.A.C.K.S.,40,1,13,2014
Agents of S.H.I.E.L.D.,T.A.H.I.T.I.,45,1,14,2014
Agents of S.H.I.E.L.D.,Yes Men,45,1,15,2014
Agents of S.H.I.E.L.D.,End of the Beginning,45,1,16,2014
Agents of S.H.I.E.L.D.,"Turn, Turn, Turn",41,1,17,2014
Agents of S.H.I.E.L.D.,Providence,45,1,18,2014
Agents of S.H.I.E.L.D.,The Only Light in the Darkness,44,1,19,2014
Agents of S.H.I.E.L.D.,Nothing Personal,43,1,20,2014
Agents of S.H.I.E.L.D.,Ragtag,43,1,21,2014
Agents of S.H.I.E.L.D.,Beginning of the End,43,1,22,2014
Agents of S.H.I.E.L.D.,Shadows,44,2,1,2014
Agents of S.H.I.E.L.D.,Heavy Is the Head,43,2,2,2014
Agents of S.H.I.E.L.D.,Making Friends and Influencing People,43,2,3,2014
Agents of S.H.I.E.L.D.,Face My Enemy,41,2,4,2014
Agents of S.H.I.E.L.D.,A Hen in the Wolf House,43,2,5,2014
Agents of S.H.I.E.L.D.,A Fractured House,42,2,6,2014
Agents of S.H.I.E.L.D.,The Writing on the Wall,43,2,7,2014
Agents of S.H.I.E.L.D.,The Things We Bury,43,2,8,2014
Agents of S.H.I.E.L.D.,Ye Who Enter Here,44,2,9,2014
Agents of S.H.I.E.L.D.,What They Become,44,2,10,2014
Agents of S.H.I.E.L.D.,Aftershocks,44,2,11,2015
Agents of S.H.I.E.L.D.,Who You Really Are,41,2,12,2015
Agents of S.H.I.E.L.D.,One of Us,44,2,13,2015
Agents of S.H.I.E.L.D.,Love in the Time of Hydra,43,2,14,2015
Agents of S.H.I.E.L.D.,One Door Closes,42,2,15,2015
Agents of S.H.I.E.L.D.,Afterlife,44,2,16,2015
Agents of S.H.I.E.L.D.,Melinda,43,2,17,2015
Agents of S.H.I.E.L.D.,Frenemy of My Enemy,42,2,18,2015
Agents of S.H.I.E.L.D.,The Dirty Half Dozen,41,2,19,2015
Agents of S.H.I.E.L.D.,Scars,43,2,20,2015
Agents of S.H.I.E.L.D.,S.O.S. Part 1,43,2,21,2015
Agents of S.H.I.E.L.D.,S.O.S. Part 2,44,2,22,2015
Agents of S.H.I.E.L.D.,Laws of Nature,44,3,1,2015
Agents of S.H.I.E.L.D.,Purpose in the Machine,43,3,2,2015
Agents of S.H.I.E.L.D.,A Wanted (Inhu)Man,42,3,3,2015
Agents of S.H.I.E.L.D.,Devils You Know,43,3,4,2015
Agents of S.H.I.E.L.D.,"4,722 Hours",43,3,5,2015
Agents of S.H.I.E.L.D.,Among Us Hide...,42,3,6,2015
Agents of S.H.I.E.L.D.,Chaos Theory,43,3,7,2015
Agents of S.H.I.E.L.D.,"Many Heads, One Tale",43,3,8,2015
Agents of S.H.I.E.L.D.,Closure,43,3,9,2015
Agents of S.H.I.E.L.D.,Maveth,42,3,10,2015
Agents of S.H.I.E.L.D.,Bouncing Back,43,3,11,2016
Agents of S.H.I.E.L.D.,The Inside Man,43,3,12,2016
Agents of S.H.I.E.L.D.,Parting Shot,42,3,13,2016
Agents of S.H.I.E.L.D.,Watchdogs,42,3,14,2016
Agents of S.H.I.E.L.D.,Spacetime,43,3,15,2016
Agents of S.H.I.E.L.D.,Paradise Lost,43,3,16,2016
Agents of S.H.I.E.L.D.,The Team,43,3,17,2016
Agents of S.H.I.E.L.D.,The Singularity,42,3,18,2016
Agents of S.H.I.E.L.D.,Failed Experiments,41,3,19,2016
Agents of S.H.I.E.L.D.,Emancipation,43,3,20,2016
Agents of S.H.I.E.L.D.,Absolution,43,3,21,2016
Agents of S.H.I.E.L.D.,Ascension,43,3,22,2016
Agents of S.H.I.E.L.D.,The Ghost,43,4,1,2016
Agents of S.H.I.E.L.D.,Meet the New Boss,43,4,2,2016
Agents of S.H.I.E.L.D.,Uprising,42,4,3,2016
Agents of S.H.I.E.L.D.,Let Me Stand Next to Your Fire,43,4,4,2016
Agents of S.H.I.E.L.D.,Lockup,42,4,5,2016
Agents of S.H.I.E.L.D.,The Good Samaritan,41,4,6,2016
Agents of S.H.I.E.L.D.,Deals with Our Devils,43,4,7,2016
Agents of S.H.I.E.L.D.,The Laws of Inferno Dynamics,42,4,8,2016
Agents of S.H.I.E.L.D.,Broken Promises,43,4,9,2017
Agents of S.H.I.E.L.D.,The Patriot,42,4,10,2017
Agents of S.H.I.E.L.D.,Wake Up,42,4,11,2017
Agents of S.H.I.E.L.D.,Hot Potato Soup,42,4,12,2017
Agents of S.H.I.E.L.D.,BOOM,43,4,13,2017
Agents of S.H.I.E.L.D.,The Man Behind the Shield,42,4,14,2017
Agents of S.H.I.E.L.D.,Self Control,43,4,15,2017
Agents of S.H.I.E.L.D.,What If...,42,4,16,2017
Agents of S.H.I.E.L.D.,Identity and Change,43,4,17,2017
Agents of S.H.I.E.L.D.,No Regrets,43,4,18,2017
